Nome_Video,Secondo,AbsDiff_Perc,Max_Blob_Area,Saliency_Mean,Temp_Variance,Label_Freeze
6HGjrOeZlLE.mp4,0.2,56.6495,902295,0.0308,0.0,0
6HGjrOeZlLE.mp4,0.3,55.5454,931910,0.0312,0.3047,0
6HGjrOeZlLE.mp4,0.4,3.181,33057,0.0298,622.4583,0
6HGjrOeZlLE.mp4,0.5,5.1639,24563,0.0322,674.6949,0
6HGjrOeZlLE.mp4,0.6,1.152,16293,0.0327,674.1583,0
6HGjrOeZlLE.mp4,0.7,0.0,0,0.0326,455.4611,0
6HGjrOeZlLE.mp4,0.8,25.8544,210813,0.0349,91.3235,0
6HGjrOeZlLE.mp4,0.9,0.0,0,0.0349,97.8912,0
6HGjrOeZlLE.mp4,1.0,34.9992,379943,0.0421,225.1562,0
6HGjrOeZlLE.mp4,1.1,30.989,127599,0.0484,233.3397,0
6HGjrOeZlLE.mp4,1.2,23.7817,129568,0.0485,149.097,0
6HGjrOeZlLE.mp4,1.3,36.1621,164620,0.0621,177.3511,0
6HGjrOeZlLE.mp4,1.4,25.5625,141091,0.092,24.3707,0
6HGjrOeZlLE.mp4,1.5,11.7268,26244,0.0956,67.2727,0
6HGjrOeZlLE.mp4,1.6,5.4173,4971,0.101,117.2305,0
6HGjrOeZlLE.mp4,1.7,7.5663,29291,0.1052,138.2105,0
6HGjrOeZlLE.mp4,1.8,18.5409,62152,0.1342,54.8508,0
6HGjrOeZlLE.mp4,1.9,27.1349,159170,0.1008,62.6676,0
6HGjrOeZlLE.mp4,2.0,26.6335,176013,0.0823,84.2063,0
6HGjrOeZlLE.mp4,2.1,0.0001,3,0.081,114.1269,0
6HGjrOeZlLE.mp4,2.2,18.0889,129096,0.1086,96.4495,0
6HGjrOeZlLE.mp4,2.3,19.96,160939,0.1273,97.0335,0
6HGjrOeZlLE.mp4,2.4,10.918,49579,0.1457,82.2136,0
6HGjrOeZlLE.mp4,2.5,15.3424,44551,0.1352,50.6121,0
6HGjrOeZlLE.mp4,2.6,18.3504,65865,0.1221,10.0828,0
6HGjrOeZlLE.mp4,2.7,6.2992,8695,0.1352,24.9797,0
6HGjrOeZlLE.mp4,2.8,14.7038,34247,0.1188,17.2353,0
6HGjrOeZlLE.mp4,2.9,14.4477,21740,0.1502,16.1158,0
6HGjrOeZlLE.mp4,3.0,13.1569,31332,0.1253,15.5567,0
6HGjrOeZlLE.mp4,3.1,12.4482,43141,0.1258,9.4233,0
6HGjrOeZlLE.mp4,3.2,19.8782,33925,0.095,6.8144,0
6HGjrOeZlLE.mp4,3.3,18.7091,148237,0.0965,9.0236,0
6HGjrOeZlLE.mp4,3.4,22.0448,93991,0.089,14.3675,0
6HGjrOeZlLE.mp4,3.5,13.854,24418,0.0945,13.3047,0
6HGjrOeZlLE.mp4,3.6,29.7371,260478,0.1251,26.976,0
6HGjrOeZlLE.mp4,3.7,12.0491,32959,0.1351,39.8096,0
6HGjrOeZlLE.mp4,3.8,25.2602,189827,0.1226,45.1833,0
6HGjrOeZlLE.mp4,3.9,20.4137,137452,0.1142,44.6591,0
6HGjrOeZlLE.mp4,4.0,21.796,171598,0.1059,34.3916,0
6HGjrOeZlLE.mp4,4.1,17.6908,125101,0.0828,19.6115,0
6HGjrOeZlLE.mp4,4.2,18.4215,109327,0.1196,7.2647,0
6HGjrOeZlLE.mp4,4.3,9.0326,15695,0.1117,19.9045,0
6HGjrOeZlLE.mp4,4.4,12.6965,92840,0.1128,20.3493,0
6HGjrOeZlLE.mp4,4.5,19.2283,126870,0.1133,15.3768,0
6HGjrOeZlLE.mp4,4.6,24.7965,212474,0.1228,29.927,0
6HGjrOeZlLE.mp4,4.7,24.863,218241,0.1408,40.6535,0
6HGjrOeZlLE.mp4,4.8,12.6515,109778,0.163,29.5897,0
6HGjrOeZlLE.mp4,4.9,11.5606,88348,0.1098,32.5908,0
6HGjrOeZlLE.mp4,5.0,7.2979,9479,0.0946,52.4614,0
6HGjrOeZlLE.mp4,5.1,26.9543,231421,0.0996,60.5969,0
6HGjrOeZlLE.mp4,5.2,28.0522,252761,0.0962,72.6815,0
6HGjrOeZlLE.mp4,5.3,18.2454,185006,0.0894,67.2795,0
6HGjrOeZlLE.mp4,5.4,15.2065,169404,0.0953,59.3997,0
6HGjrOeZlLE.mp4,5.5,9.0879,39219,0.1032,51.4252,0
6HGjrOeZlLE.mp4,5.6,4.3647,2315,0.1119,65.7992,0
6HGjrOeZlLE.mp4,5.7,6.979,8173,0.1169,26.7586,0
6HGjrOeZlLE.mp4,5.8,8.8933,35690,0.1154,12.8132,0
6HGjrOeZlLE.mp4,5.9,5.8645,9098,0.1072,3.2342,0
6HGjrOeZlLE.mp4,6.0,5.6093,15210,0.1356,2.3178,0
6HGjrOeZlLE.mp4,6.1,7.8032,53267,0.0905,1.4898,0
6HGjrOeZlLE.mp4,6.2,6.7917,12284,0.0876,1.4992,0
6HGjrOeZlLE.mp4,6.3,10.7157,60300,0.0859,3.4162,0
6HGjrOeZlLE.mp4,6.4,11.5649,89034,0.0923,5.2125,0
6HGjrOeZlLE.mp4,6.5,13.0676,101728,0.1022,5.4979,0
6HGjrOeZlLE.mp4,6.6,13.4181,138140,0.0879,5.6339,0
6HGjrOeZlLE.mp4,6.7,9.009,61152,0.108,2.5892,0
6HGjrOeZlLE.mp4,6.8,7.4664,12962,0.1231,5.3694,0
6HGjrOeZlLE.mp4,6.9,10.8805,89370,0.1119,5.2637,0
6HGjrOeZlLE.mp4,7.0,6.0771,6004,0.1203,6.6531,0
6HGjrOeZlLE.mp4,7.1,9.5516,96410,0.1067,2.7847,0
6HGjrOeZlLE.mp4,7.2,15.2881,156656,0.1175,10.128,0
6HGjrOeZlLE.mp4,7.3,15.6092,150880,0.0684,12.9643,0
6HGjrOeZlLE.mp4,7.4,14.9189,130788,0.076,14.6032,0
6HGjrOeZlLE.mp4,7.5,10.7732,80458,0.0724,6.4631,0
6HGjrOeZlLE.mp4,7.6,6.7198,50401,0.0861,11.9108,0
6HGjrOeZlLE.mp4,7.7,13.4376,125692,0.0793,10.5147,0
6HGjrOeZlLE.mp4,7.8,27.6519,182023,0.0836,49.6993,0
6HGjrOeZlLE.mp4,7.9,26.5282,205213,0.0721,72.2785,0
6HGjrOeZlLE.mp4,8.0,17.4474,200203,0.0943,62.7231,0
6HGjrOeZlLE.mp4,8.1,15.5508,167872,0.1051,34.0937,0
6HGjrOeZlLE.mp4,8.2,8.9688,81995,0.0979,49.2393,0
6HGjrOeZlLE.mp4,8.3,8.4609,16594,0.0958,43.5122,0
6HGjrOeZlLE.mp4,8.4,9.5016,41839,0.0825,14.0472,0
6HGjrOeZlLE.mp4,8.5,14.6173,159914,0.0725,9.1462,0
6HGjrOeZlLE.mp4,8.6,23.1579,216790,0.0927,30.9747,0
6HGjrOeZlLE.mp4,8.7,23.6423,218587,0.0961,42.1083,0
6HGjrOeZlLE.mp4,8.8,21.7215,203553,0.0728,30.9117,0
6HGjrOeZlLE.mp4,8.9,13.0099,94008,0.0816,20.2141,0
6HGjrOeZlLE.mp4,9.0,12.3822,83959,0.0671,25.1372,0
6HGjrOeZlLE.mp4,9.1,11.0406,99592,0.1072,27.4239,0
6HGjrOeZlLE.mp4,9.2,20.0987,205029,0.1153,19.1099,0
6HGjrOeZlLE.mp4,9.3,25.0322,227871,0.092,28.9031,0
6HGjrOeZlLE.mp4,9.4,21.2502,187742,0.0908,28.881,0
6HGjrOeZlLE.mp4,9.5,15.9006,82599,0.0827,23.0106,0
6HGjrOeZlLE.mp4,9.6,14.8621,74143,0.0972,13.6934,0
6HGjrOeZlLE.mp4,9.7,7.8834,11595,0.1018,34.2942,0
6HGjrOeZlLE.mp4,9.8,7.8797,9786,0.1084,26.1605,0
6HGjrOeZlLE.mp4,9.9,7.1121,11986,0.0827,14.6251,0
6HGjrOeZlLE.mp4,10.0,4.6355,12779,0.0821,11.6197,0
6HGjrOeZlLE.mp4,10.1,4.2085,4584,0.1044,2.5595,0
6HGjrOeZlLE.mp4,10.2,26.4192,202972,0.1111,68.9466,0
6HGjrOeZlLE.mp4,10.3,25.1781,217916,0.1021,101.8,0
6HGjrOeZlLE.mp4,10.4,22.7876,218228,0.1115,100.995,0
6HGjrOeZlLE.mp4,10.5,9.7464,46736,0.1195,80.6208,0
6HGjrOeZlLE.mp4,10.6,13.3012,83487,0.074,44.8962,0
6HGjrOeZlLE.mp4,10.7,10.9745,60804,0.069,40.2329,0
